code,x,y,z,cluster
SE2351,1.0802431,2.3193436,-1.3407993,49
S31947,-0.3463421,-3.7439566,2.3396358,30
E32249,-4.675351,-0.77773666,-1.6432695,9
E32343,-4.731838,-0.84065914,-1.759727,9
S32223,-1.517354,1.1384859,2.3821611,34
SS31474,-0.65326214,-4.1747637,-0.22120285,50
E31897,9.110447,2.0859594,-6.4342003,0
S31923,0.5281992,-0.682909,-2.354753,16
S32089,1.4888344,0.07793188,2.3787374,2
E33251,-1.797782,-6.2224817,0.32114315,14
E31468,-1.7810726,-0.88337994,-0.068378925,32
S31244,1.1402836,-1.1519604,-1.253253,16
S31835,-2.6228628,-5.4207687,-2.0401993,23
S32136,-0.39250183,3.9323769,-0.010018349,20
S31552,1.326952,-0.8541484,0.22140598,41
S32177,-4.9000187,-0.83322525,-1.9306545,9
S32787,-3.2231274,-2.054389,-0.67540216,27
CWES1113,-0.35076618,5.6795273,-1.523345,6
S34520,8.7994375,1.7999935,-6.168086,0
CWES1134,-4.10948,0.06972122,-0.03922844,26
S31763,-0.7770872,-2.8246346,2.77495,47
S31589,0.2712555,1.3571539,6.943013,58
S31736,0.24921799,4.04782,-0.22279453,20
S31630,1.4722357,-0.7445545,0.020030022,41
S31283,0.5831976,-1.0291662,-2.1444225,16
E31501,-4.796652,-0.7754612,-1.7400455,9
S31451,-2.559245,-0.5086136,0.7597599,37
S35620,0.3635025,-1.3041983,-2.0082655,16
ART3339,7.6239967,1.5325403,-5.205969,0
E32436,-4.1344566,0.016109467,0.055526733,26
E31904,7.423628,1.5748644,-5.5294886,0
S32356,6.77872,3.3843603,-4.804714,0
S31989,-4.8718452,-0.8491168,-1.9254627,9
E32645,0.7460613,3.7480087,0.2619524,20
E32010,-4.868679,-0.36855316,-2.1204548,9
S32728,-1.5453844,-4.368387,-0.8818021,22
S32208,1.0076399,1.1804218,-2.4763975,61
S32636,-0.8327265,-5.4431696,0.13739204,33
E31917,7.407571,1.3079205,-5.36008,0
S32150,-3.5461044,0.18763924,1.6848211,55
S31238,-3.0787086,1.3056693,-0.48082733,59
SS33207,0.96283245,-1.5301952,-1.1463547,16
E31941,-0.58723545,1.2356997,3.9196043,12
S31657,0.8326597,0.112501144,3.1465535,4
ART3328,1.0213957,1.196682,-2.4641647,61
S31290,-0.20697403,-3.7871675,2.255804,30
S32510,1.10707,-2.2626286,0.5488291,11
S32033,-1.725399,1.0454154,2.044303,34
S32167,-2.3736172,5.2664423,0.24466896,7
S31225,0.8281374,-0.000546932,3.227366,4
S32032,-2.2209568,-3.2993822,-1.1312099,15
E32342,7.327635,3.56282,-5.2462616,0
ART3321,1.0439787,1.2106323,-2.4372401,61
SE2583,-0.9739766,-4.2689533,-0.22901297,48
SS33179,8.653385,1.9324846,-6.0051804,0
S31820,1.0466318,-2.2832355,0.54499626,11
S32730,-2.4265275,-5.2870693,-1.8478174,23
E32369,-2.3606892,5.376486,0.44304848,7
S31076,-1.7292337,-4.223345,-0.6808944,22
S31847,1.0044651,-1.0714593,0.18046188,41
S32172,-0.22728968,1.399847,0.9353037,1
P31393,-2.6428223,-5.4901533,-2.1085844,23
S31646,0.7765274,-1.0559635,0.27387905,41
S33084,1.6287928,0.1631136,-0.60258865,43
S31337,1.5775714,-0.57135916,-0.35134745,41
S31353,-0.04942131,-4.309244,0.002206802,50
S32094,-2.4796681,-5.351179,-1.904212,23
E32625,0.92919874,3.5852108,0.3049221,20
S32695,0.7365694,3.8258858,0.27887154,20
S32819,0.1669488,-2.2233715,2.258685,8
S31851,-1.0294657,-0.5803938,2.5000677,51
S31365,-1.5244236,1.2656441,2.3271885,34
S31606,-0.43446732,5.5888653,-1.576273,6
S33182,6.993182,3.325882,-5.0046387,0
S32950,0.7155161,3.8138762,0.24236107,20
S31681,-1.3615475,1.214014,2.359995,34
S31300,0.08574009,0.7437067,2.9111605,4
S32727,-1.2041273,-5.625682,-0.26027298,33
SS33083,-0.046726227,-5.305541,1.2057543,18
S31377,0.86299324,-1.1980114,0.083238125,41
E31305,-5.2807064,-0.38215876,-2.1951885,9
E32488,-1.3258448,-0.9630463,1.9064841,51
CWES1082,-0.16213417,-1.6521497,-1.5182877,16
S32365,0.5551796,-1.2030888,-2.0376205,16
S31628,1.1664252,-1.1658812,-1.4006109,16
SS33017,-2.506051,-5.3246784,-1.9030972,23
E32241,8.68818,1.9261799,-6.1860237,0
S32174,8.062336,2.5356822,-5.7553997,0
SE2684,10.217803,2.4522524,-6.361946,0
S31752,0.28025103,3.99341,-0.1776061,20
S31215,-2.729229,-2.5102296,-1.3318148,24
CWES1084,-0.63879395,-0.8063116,2.8612528,28
S31573,-1.6150045,1.0352755,2.0717907,34
S31864,2.0353851,-0.84169006,0.075948715,35
S32761,-1.8558168,-6.21336,0.5998697,14
SS33092,-2.4729872,-0.41902208,1.0459585,37
S32123,8.137449,2.9187288,-5.810067,0
SS32947,0.17461586,-3.3482594,-0.13438797,19
S31060,-1.9538231,-4.206423,-0.827929,22
ART3326,1.0191879,1.2240181,-2.4013596,61
E32288,9.310823,2.269432,-6.4963856,0
S31530,-3.645361,1.2473283,-0.268178,53
S31130,-2.7660952,-0.25821495,1.4617076,40
S31382,-0.6928396,-5.1133347,0.28185463,33
S32258,-1.0496683,-0.56775284,2.4776793,51
S34530,7.580805,3.6222425,-5.422682,0
S31653,2.3679285,-0.77194977,-0.001708508,35
S35563,-0.11171627,-1.6278954,-1.590806,16
CWES1081,-0.7035494,-0.87400913,2.8494024,28
SE2555,-2.3829527,-5.3328524,-1.684329,23
E33220,-1.1650968,-5.6688137,-0.17699337,33
CWES1157,9.0776615,2.439859,-6.270624,0
S31704,-0.19036865,-4.2198515,0.037218094,50
CWES1963,-4.171854,-0.18824387,-0.20984936,26
E32066,-0.962842,-4.4901977,-0.15416765,48
S31378,-0.11876917,-3.1797333,-0.42411423,19
E31204,0.18758345,-3.7490158,2.9875503,30
S31400,-0.11862278,-3.4939942,2.649847,30
S32392,-0.29602098,5.3775864,-1.1646347,6
S32078,-2.6962252,-5.503332,-2.1589842,23
S32482,9.661187,2.4965248,-6.2116413,0
SE2688,9.422581,2.5057054,-6.17618,0
S31124,-0.3020544,3.5815325,0.23478031,20
P31762,1.1775122,-0.84086037,-1.7609043,16
S32029,-2.4681406,5.0537186,0.556406,7
S32077,-1.9967728,-6.1921206,0.8206625,14
S32371,-2.1514626,-3.2051253,-1.1402392,15
SS32985,-3.9196024,0.24111271,0.59895134,25
S32224,1.9225063,-0.875721,0.091015816,35
SS33128,-3.8776178,0.2740569,0.038459778,26
